age,gender,governorate,customer_segment,annual_income_egp,credit_score,months_with_bank,num_products,has_loan,has_credit_card,has_savings_account,is_active,tenure_years,income_per_product,credit_tier,txn_count,total_spend_egp,avg_txn_egp,online_txn_pct,mobile_txn_pct,night_txn_pct,intl_txn_pct,unique_channels,churn_flag
41,F,Alexandria,Emerging,23253.11,657.0,105,1,0,1,1,1,8.75,23253.11,fair,3,6258.03,2086.01,0.3333,0.0,0.0,0.3333,2,0
25,M,Beheira,Mass,69182.17,744.0,35,1,0,1,1,1,2.92,69182.17,very_good,5,7560.58,1512.116,0.0,0.0,0.2,0.0,2,0
47,F,Other,Mass,23586.47,619.0,107,3,0,0,1,1,8.92,7862.16,fair,7,13002.56,1857.5086,0.1429,0.1429,0.4286,0.0,4,0
49,F,Cairo,Mass,48020.59,685.0,115,2,1,1,0,1,9.58,24010.3,good,6,10012.97,1668.8283,0.0,0.0,0.3333,0.0,2,0
18,F,Cairo,Mass,16206.19,448.0,30,3,0,1,0,0,2.5,5402.06,very_poor,3,8820.42,2940.14,0.3333,0.0,0.0,0.0,2,0
22,F,Dakahlia,Emerging,24650.394999999997,619.0,34,3,0,1,1,1,2.83,8216.8,fair,6,7411.93,1235.3217,0.3333,0.0,0.1667,0.0,3,0
39,M,Cairo,Emerging,16034.3,556.0,107,1,1,1,0,1,8.92,16034.3,poor,5,2138.15,427.63,0.4,0.0,0.2,0.0,2,0
34,M,Monufia,Mass,23852.12,619.0,68,4,1,1,0,0,5.67,5963.03,fair,8,3423.73,427.9662,0.375,0.0,0.125,0.375,3,0
37,M,Qalyubia,Mass,51338.71,553.0,83,3,0,1,0,1,6.92,17112.9,poor,4,1554.97,388.7425,0.25,0.25,0.0,0.0,4,0
27,M,Cairo,Mass,9674.43,596.0,50,1,0,1,1,1,4.17,9674.43,fair,7,9683.09,1383.2986,0.1429,0.1429,0.2857,0.0,5,0
48,M,Gharbia,Affluent,39433.67,708.0,101,2,0,1,1,1,8.42,19716.84,good,5,4582.67,916.534,0.2,0.0,0.4,0.2,4,0
47,M,Cairo,Emerging,24650.394999999997,517.0,128,1,1,0,1,0,10.67,24650.39,poor,3,6093.06,2031.02,0.3333,0.0,0.3333,0.0,3,0
38,M,Giza,Mass,20207.37,630.0,74,1,0,0,1,1,6.17,20207.37,fair,7,16292.08,2327.44,0.1429,0.0,0.1429,0.1429,2,0
51,M,Alexandria,Affluent,11615.11,589.0,117,1,1,0,0,1,9.75,11615.11,fair,3,2016.98,672.3267,0.3333,0.0,0.3333,0.3333,2,0
43,M,Alexandria,Mass,31159.8,619.0,122,5,0,0,1,1,10.17,6231.96,fair,4,1542.42,385.605,0.5,0.25,0.25,0.0,3,0
27,F,Qalyubia,Mass,21074.73,710.0,83,2,0,0,1,0,6.92,10537.36,good,7,11355.8,1622.2571,0.0,0.1429,0.2857,0.0,3,0
42,F,Qalyubia,Affluent,34587.22,674.0,112,2,0,1,0,0,9.33,17293.61,good,3,3670.38,1223.46,0.3333,0.0,0.0,0.0,2,0
26,M,Other,Mass,30157.95,738.0,79,3,0,0,0,1,6.58,10052.65,good,8,14464.74,1808.0925,0.375,0.125,0.5,0.0,5,0
48,M,Other,Mass,84217.35,617.0,141,2,1,1,1,1,11.75,42108.68,fair,7,6777.45,968.2071,0.2857,0.2857,0.1429,0.0,4,0
37,M,Alexandria,Emerging,25448.67,568.0,86,5,0,1,0,1,7.17,5089.73,poor,5,10296.64,2059.328,0.4,0.0,0.4,0.0,3,0
