age,annual_income_egp,credit_score,months_with_bank,num_products,has_loan,is_active,tenure_years,income_per_product,txn_count,avg_txn_egp,max_txn_egp,std_txn_egp,online_txn_pct,mobile_txn_pct,night_txn_pct,intl_txn_pct,unique_channels,unique_merchants,churn_flag
41,23253.11,657.0,105,1,0,1,8.75,23253.11,3,2086.01,5000.0,2550.7123,0.3333,0.0,0.0,0.3333,2,3,0
25,69182.17,744.0,35,1,0,1,2.92,69182.17,5,1512.116,3000.0,1201.1903,0.0,0.0,0.2,0.0,2,4,0
47,23586.47,619.0,107,3,0,1,8.92,7862.16,7,1857.5086,5000.0,2221.8305,0.1429,0.1429,0.4286,0.0,4,4,0
49,48020.59,685.0,115,2,1,1,9.58,24010.3,6,1668.8283,5000.0,1914.0805,0.0,0.0,0.3333,0.0,2,4,0
18,16206.19,448.0,30,3,0,0,2.5,5402.06,3,2940.14,8009.65,4390.4603,0.3333,0.0,0.0,0.0,2,3,0
22,24650.394999999997,619.0,34,3,0,1,2.83,8216.8,6,1235.3217,2586.12,961.6217,0.3333,0.0,0.1667,0.0,3,4,0
39,16034.3,556.0,107,1,1,1,8.92,16034.3,5,427.63,1816.77,778.5768,0.4,0.0,0.2,0.0,2,5,0
34,23852.12,619.0,68,4,1,0,5.67,5963.03,8,427.9662,822.34,221.3332,0.375,0.0,0.125,0.375,3,5,0
37,51338.71,553.0,83,3,0,1,6.92,17112.9,4,388.7425,1000.0,419.6687,0.25,0.25,0.0,0.0,4,4,0
27,9674.43,596.0,50,1,0,1,4.17,9674.43,7,1383.2986,3000.0,1032.0575,0.1429,0.1429,0.2857,0.0,5,5,0
48,39433.67,708.0,101,2,0,1,8.42,19716.84,5,916.534,2000.0,995.9769,0.2,0.0,0.4,0.2,4,3,0
47,24650.394999999997,517.0,128,1,1,0,10.67,24650.39,3,2031.02,5000.0,2580.9449,0.3333,0.0,0.3333,0.0,3,1,0
38,20207.37,630.0,74,1,0,1,6.17,20207.37,7,2327.44,5000.0,1536.5802,0.1429,0.0,0.1429,0.1429,2,4,0
51,11615.11,589.0,117,1,1,1,9.75,11615.11,3,672.3267,1893.34,1057.9048,0.3333,0.0,0.3333,0.3333,2,2,0
43,31159.8,619.0,122,5,0,1,10.17,6231.96,4,385.605,780.72,312.6365,0.5,0.25,0.25,0.0,3,3,0
27,21074.73,710.0,83,2,0,0,6.92,10537.36,7,1622.2571,5000.0,1654.7514,0.0,0.1429,0.2857,0.0,3,5,0
42,34587.22,674.0,112,2,0,0,9.33,17293.61,3,1223.46,2998.74,1568.629,0.3333,0.0,0.0,0.0,2,3,0
26,30157.95,738.0,79,3,0,1,6.58,10052.65,8,1808.0925,9412.06,3199.2349,0.375,0.125,0.5,0.0,5,4,0
48,84217.35,617.0,141,2,1,1,11.75,42108.68,7,968.2071,5000.0,1793.5062,0.2857,0.2857,0.1429,0.0,4,5,0
37,25448.67,568.0,86,5,0,1,7.17,5089.73,5,2059.328,5000.0,2031.3569,0.4,0.0,0.4,0.0,3,3,0
